task,step,progress,filename,source_path,dest_path,is_new,is_updated,pruned_count
atari-jamesbond,5000000,100.0,atari-jamesbond_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-jamesbond/20251225_175801_expert_atari-jamesbond/wandb/run-20251225_175804-wa3cqvge/files/media/videos/videos/eval_video_1680000_0450ff40544831f670dc.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-jamesbond_5000000.mp4,False,False,0
atari-kangaroo,4900000,98.0,atari-kangaroo_4900000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-kangaroo/20251225_175802_expert_atari-kangaroo/wandb/run-20251225_175804-f1o5f7in/files/media/videos/videos/eval_video_1580000_de3deb197b468532f3f1.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-kangaroo_4900000.mp4,False,True,1
atari-krull,5000000,100.0,atari-krull_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-krull/20251225_175803_expert_atari-krull/wandb/run-20251225_175805-hz0uto7g/files/media/videos/videos/eval_video_2900000_dd230c1ca4e1490c1e4f.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-krull_5000000.mp4,False,False,0
atari-ms-pacman,5000000,100.0,atari-ms-pacman_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-ms-pacman/20251225_175802_expert_atari-ms-pacman/wandb/run-20251225_175804-wfvywucz/files/media/videos/videos/eval_video_3060000_134fd2d390d45fd8ce29.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-ms-pacman_5000000.mp4,False,False,0
atari-name-this-game,5000000,100.0,atari-name-this-game_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-name-this-game/20251225_175802_expert_atari-name-this-game/wandb/run-20251225_175805-dp72sqyf/files/media/videos/videos/eval_video_3020000_5448c5e293faca91d968.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-name-this-game_5000000.mp4,False,False,0
atari-phoenix,5000000,100.0,atari-phoenix_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-phoenix/20251225_175802_expert_atari-phoenix/wandb/run-20251225_175805-qjyn4nq9/files/media/videos/videos/eval_video_2800000_9bd6a5ff2f0b6968f265.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-phoenix_5000000.mp4,False,False,0
atari-pong,5000000,100.0,atari-pong_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-pong/20251225_175838_expert_atari-pong/wandb/run-20251225_175840-8crid83t/files/media/videos/videos/eval_video_2560000_e6ddedf3a0689e17b1a4.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-pong_5000000.mp4,False,False,0
atari-road-runner,5000000,100.0,atari-road-runner_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-road-runner/20251225_175836_expert_atari-road-runner/wandb/run-20251225_175839-odx90ika/files/media/videos/videos/eval_video_2460000_c8aec094f25f3079e14f.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-road-runner_5000000.mp4,False,False,0
atari-robotank,5000000,100.0,atari-robotank_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-robotank/20251225_175837_expert_atari-robotank/wandb/run-20251225_175839-23d4h86q/files/media/videos/videos/eval_video_2440000_3d57ab427db779bf3d84.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-robotank_5000000.mp4,False,False,0
atari-seaquest,5000000,100.0,atari-seaquest_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-seaquest/20251225_175835_expert_atari-seaquest/wandb/run-20251225_175838-w7o5q20t/files/media/videos/videos/eval_video_2540000_cf8bc620f590b8eb8079.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-seaquest_5000000.mp4,False,False,0
